City,CostofLivingIndex,BobaPrice
Austin,106.6,4.72
Seattle,124.6,5.36
San Francisco,178.6,6.23
San Jose,173.5,6.12
Los Angeles,140.6,6.18
Phoenix,104.3,4.73
Denver,112.1,4.57
New York City,128,5.85
Chicago,100.1,5.5
Philadelphia,88.9,5.44
Atlanta,100.3,4.83
Boston,132.6,6.18
Houston,95.8,5.32
Salt Lake City,105.9,5.46
Dallas,98.5,4.25
Miami,110.1,5.5
Des Moines,91.7,5.1
Portland,116.5,5.44
Fresno,105.9,4.77
Sacramento,120.3,5.3
San Diego,136.2,5.83
Las Vegas,100.7,4.67
San Antonio,92.7,4.9
Tucson,97.7,5.12
Memphis,88.2,4.87
Minneapolis,105.4,5.19
Nashville,100.1,5.2
Indianapolis,90.2,5.7
Columbus,93.9,5.49
Louisville,91.6,4.9
Idaho Falls,91.7,5.45
Albuquerque,92.9,5.52
Oklahoma City,87.3,4.73
Washington,120.1,5.68
Wichita,86.8,4.12